"Date","Price","Open","High","Low","Vol.","Change %"
"11/10/2024","62,581.0","60,337.0","63,455.0","60,104.0","0.42K","3.72%"
"10/10/2024","60,337.0","60,650.0","61,364.0","58,944.0","0.66K","-0.52%"
"09/10/2024","60,650.0","62,231.0","62,586.0","60,371.0","0.46K","-2.54%"
"08/10/2024","62,231.0","62,269.0","63,248.0","61,941.0","0.43K","-0.06%"
"07/10/2024","62,269.0","62,894.0","64,514.0","62,202.0","0.61K","-0.99%"
"06/10/2024","62,894.0","62,138.0","63,016.0","61,862.0","0.23K","1.22%"
"05/10/2024","62,138.0","62,191.0","62,437.0","61,767.0","0.25K","-0.09%"
"04/10/2024","62,191.0","60,892.0","62,575.0","60,602.0","0.43K","2.13%"
"03/10/2024","60,892.0","60,785.0","61,600.0","60,009.0","0.38K","0.18%"
"02/10/2024","60,785.0","60,981.0","62,455.0","60,139.0","0.74K","-0.32%"
"01/10/2024","60,981.0","63,468.0","64,217.0","60,329.0","0.89K","-3.92%"
"30/09/2024","63,468.0","65,762.0","65,762.0","63,006.0","1.04K","-3.49%"
"29/09/2024","65,762.0","66,015.0","66,193.0","65,574.0","0.09K","-0.38%"
"28/09/2024","66,015.0","65,928.0","66,410.0","65,568.0","0.11K","0.13%"
"27/09/2024","65,928.0","65,307.0","66,548.0","64,987.0","0.67K","0.95%"
"26/09/2024","65,307.0","63,264.0","65,856.0","62,805.0","0.86K","3.23%"
"25/09/2024","63,264.0","64,381.0","64,888.0","63,082.0","0.40K","-1.73%"
"24/09/2024","64,381.0","63,456.0","64,775.0","62,850.0","0.53K","1.46%"
"23/09/2024","63,456.0","63,663.0","64,830.0","62,701.0","0.72K","-0.33%"
"22/09/2024","63,663.0","63,416.0","64,093.0","62,485.0","0.63K","0.39%"
"21/09/2024","63,416.0","63,205.0","63,570.0","62,805.0","0.21K","0.33%"
"20/09/2024","63,205.0","63,032.0","64,200.0","62,435.0","0.49K","0.27%"
"19/09/2024","63,032.0","61,841.0","63,948.0","61,714.0","0.80K","1.93%"
"18/09/2024","61,841.0","60,435.0","61,869.0","59,293.0","1.00K","2.33%"
"17/09/2024","60,435.0","58,342.0","61,337.0","57,773.0","1.10K","3.59%"
"16/09/2024","58,342.0","59,296.0","59,336.0","57,653.0","0.62K","-1.61%"
"15/09/2024","59,296.0","60,139.0","60,525.0","58,868.0","0.83K","-1.40%"
"14/09/2024","60,139.0","60,645.0","60,713.0","59,666.0","0.33K","-0.83%"
"13/09/2024","60,645.0","58,287.0","60,730.0","57,762.0","1.16K","4.05%"
"12/09/2024","58,287.0","57,451.0","58,643.0","57,449.0","0.80K","1.46%"
"11/09/2024","57,451.0","57,758.0","58,104.0","55,743.0","1.19K","-0.53%"
"10/09/2024","57,758.0","57,110.0","58,135.0","56,489.0","0.27K","1.13%"
